Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Unemployment rate,Inflation rate,GDP,Target,Unnamed: 25,Unnamed: 26
1.0,17.0,5.0,171.0,1.0,1.0,122.0,1.0,19.0,12.0,5.0,9.0,127.3,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,10.8,1.4,1.74,Dropout,,
1.0,15.0,1.0,9254.0,1.0,1.0,160.0,1.0,1.0,3.0,3.0,3.0,142.5,1.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,13.9,-0.3,0.79,Graduate,,
1.0,,5.0,9070.0,1.0,1.0,122.0,,37.0,37.0,,9.0,124.8,1.0,0.0,0.0,0.0,1.0,,19.0,0.0,10.8,1.4,1.74,Dropout,,
1.0,17.0,2.0,9773.0,1.0,1.0,122.0,1.0,38.0,37.0,5.0,,119.6,1.0,,0.0,1.0,,0.0,20.0,0.0,9.4,-0.8,-3.12,Graduate,,
2.0,39.0,1.0,8014.0,0.0,1.0,100.0,1.0,37.0,,9.0,9.0,141.5,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,13.9,-0.3,0.79,Graduate,,
2.0,39.0,1.0,9991.0,0.0,19.0,133.1,1.0,37.0,37.0,,7.0,114.8,,0.0,1.0,1.0,1.0,0.0,50.0,,16.2,0.3,-0.92,Graduate,,
1.0,1.0,,9500.0,1.0,1.0,142.0,1.0,19.0,38.0,7.0,10.0,,,0.0,,1.0,0.0,,18.0,0.0,15.5,2.8,-4.06,Graduate,,
1.0,,4.0,9254.0,1.0,1.0,119.0,1.0,37.0,37.0,,9.0,113.1,1.0,0.0,,0.0,1.0,0.0,22.0,,15.5,2.8,-4.06,Dropout,,
,1.0,3.0,9238.0,,1.0,137.0,62.0,1.0,1.0,9.0,9.0,129.3,0.0,0.0,0.0,1.0,0.0,1.0,21.0,1.0,16.2,0.3,-0.92,,,
1.0,1.0,1.0,9238.0,1.0,,138.0,1.0,1.0,19.0,4.0,7.0,123.0,,0.0,1.0,0.0,0.0,0.0,18.0,0.0,8.9,,3.51,Dropout,,
